sep=,
DeviceTag:,Xsens_DOT_02
FirmwareVersion:,1.4.0
AppVersion:,2020.2.2
Measurement Mode:,Sensor fusion Mode - Orientation(Quaternion)
StartTime: ,2020-11-04_15:24:03_812 CET
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
461,2484226828,0.491411,0.008953,0.005087,-0.870867
462,2484243495,0.491373,0.008955,0.005082,-0.870889
463,2484260162,0.491319,0.008950,0.005089,-0.870919
464,2484276829,0.491365,0.008944,0.005098,-0.870893
465,2484293496,0.491364,0.008950,0.005096,-0.870894
466,2484310163,0.491404,0.008942,0.005097,-0.870871
467,2484326830,0.491375,0.008935,0.005111,-0.870887
468,2484343497,0.491354,0.008929,0.005114,-0.870899
469,2484360164,0.491335,0.008918,0.005116,-0.870910
470,2484376831,0.491313,0.008918,0.005115,-0.870923
471,2484393498,0.491330,0.008919,0.005109,-0.870913
472,2484410165,0.491273,0.008933,0.005093,-0.870945
473,2484426832,0.491329,0.008931,0.005094,-0.870914
474,2484443499,0.491403,0.008935,0.005087,-0.870872
475,2484460166,0.491576,0.008926,0.005088,-0.870774
